,Substituents,SMILES,Solvent,PBE0,CAM-B3LYP,Experiment
201,,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=CC(Br)=C2,EtOH,,,414
202,,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=CC=C2Cl,EtOH,,,412
203,,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=CC(Cl)=C2,EtOH,,,410
204,,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=C(Cl)C=C2,EtOH,,,413
205,,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=C(F)C=CC=C2,EtOH,,,417
206,,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC(F)=CC=C2,EtOH,,,415
207,,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=C(C(F)(F)F)C=CC=C2,EtOH,,,419
208,,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC(C(F)(F)F)=CC=C2,EtOH,,,418
209,,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=C(C(F)(F)F)C=C2,EtOH,,,421
210,,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=C(C#N)C=CC=C2,EtOH,,,438
211,,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=C(C#N)C=C2,EtOH,,,437
212,,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=C(OC)C=CC=C2,EtOH,,,409
213,,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC(OC)=CC=C2,EtOH,,,407
214,,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=C(C)C=CC=C2,EtOH,,,405
215,,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC(C)=CC=C2,EtOH,,,402
216,,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=C(C)C=C2,EtOH,,,402
217,,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC(C(O)C)=CC=C2,EtOH,,,405
218,,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=C(S(=O)(C)=O)C=C2,EtOH,,,434
219,,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=C(C(C)=O)C=C2,EtOH,,,412
220,4-NEtEtCN,N#CCCNC(C=C1)=CC=C1/N=N/C2=CC=CC=C2,EtOH,,,396
221,,N#CCCNC(C=C1)=CC=C1/N=N/C2=CC=CC=C2[N+]([O-])=O,EtOH,,,422
222,,N#CCCNC(C=C1)=CC=C1/N=N/C2=CC=CC([N+]([O-])=O)=C2,EtOH,,,418
223,,ClC1=CC=CC=C1/N=N/C2=CC=C(NCCC#N)C=C2,EtOH,,,408
224,,ClC1=CC(/N=N/C2=CC=C(NCCC#N)C=C2)=CC=C1,EtOH,,,408
225,,ClC1=CC=C(/N=N/C2=CC=C(NCCC#N)C=C2)C=C1,EtOH,,,404
226,,FC1=CC=CC=C1/N=N/C2=CC=C(NCCC#N)C=C2,EtOH,,,404
227,,FC1=CC(/N=N/C2=CC=C(NCCC#N)C=C2)=CC=C1,EtOH,,,406
228,,FC1=CC=C(/N=N/C2=CC=C(NCCC#N)C=C2)C=C1,EtOH,,,398
229,,N#CCCNC(C=C1)=CC=C1/N=N/C2=CC=C(C(F)(F)F)C=C2,EtOH,,,411
230,,N#CCCNC(C=C1)=CC=C1/N=N/C2=CC=CC=C2C#N,EtOH,,,429
231,,N#CCCNC(C=C1)=CC=C1/N=N/C2=CC=C(C#N)C=C2,EtOH,,,428
232,,N#CCCNC(C=C1)=CC=C1/N=N/C2=CC=CC=C2OC,EtOH,,,394
233,,N#CCCNC(C=C1)=CC=C1/N=N/C2=CC=CC(OC)=C2,EtOH,,,394
234,,N#CCCNC(C=C1)=CC=C1/N=N/C2=CC=C(OC)C=C2,EtOH,,,395
235,,CC1=CC=CC=C1/N=N/C2=CC=C(NCCC#N)C=C2,EtOH,,,400
236,,CC1=CC(/N=N/C2=CC=C(NCCC#N)C=C2)=CC=C1,EtOH,,,400
237,,CC1=CC=C(/N=N/C2=CC=C(NCCC#N)C=C2)C=C1,EtOH,,,395
238,,OCCC1=CC=CC=C1/N=N/C2=CC=C(NCCC#N)C=C2,EtOH,,,399
239,,CC(O)C1=CC(/N=N/C2=CC=C(NCCC#N)C=C2)=CC=C1,EtOH,,,396
240,,OCCC1=CC=C(/N=N/C2=CC=C(NCCC#N)C=C2)C=C1,EtOH,,,396
241,,O=C(C)NC1=CC=C(/N=N/C2=CC=C(NCCC#N)C=C2)C=C1,EtOH,,,403
242,,[H]N(C)C(C=C1)=CC=C1/N=N/C2=CC=CC=C2,EtOH,,,400
243,,[H]N(CC)C(C=C3)=CC=C3/N=N/C4=CC=CC=C4,EtOH,,,400
244,,[H]N(CCO)C(C=C5)=CC=C5/N=N/C6=CC=CC=C6,EtOH,,,398
245,,[H]N(CCC#N)C(C=C7)=CC=C7/N=N/C8=CC=CC=C8,EtOH,,,390
246,,CC9=CC(NCCC#N)=CC=C9/N=N/C%10=CC=CC=C%10,EtOH,,,396
247,,OCCN(CCO)C(C=C%11)=CC=C%11/N=N/C%12=CC=CC=C%12,EtOH,,,407
248,,OCCN(CCC#N)C(C=C%13)=CC=C%13/N=N/C%14=CC=CC=C%14,EtOH,,,397
249,,CC%15=CC(N(CCO)CCC#N)=CC=C%15/N=N/C%16=CC=CC=C%16,EtOH,,,403
250,,CN(CCC#N)C(C=C%17)=CC=C%17/N=N/C%18=CC=CC=C%18,EtOH,,,396
251,,CCN(CCC#N)C(C=C%19)=CC=C%19/N=N/C%20=CC=CC=C%20,EtOH,,,399
252,,CCN(CCC#N)C(C=C%21C)=CC=C%21/N=N/C%22=CC=CC=C%22,EtOH,,,404
253,,N#CCCN(CCC#N)C(C=C%23)=CC=C%23/N=N/C%24=CC=CC=C%24,EtOH,,,382
254,,CC1=CC(N(CCC#N)CCC#N)=CC=C1/N=N/C2=CC=CC=C2,EtOH,,,392
255,,[H]N(C)C(C=C1)=CC=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2,EtOH,,,464
256,,[H]N(CC)C(C=C3)=CC=C3/N=N/C4=CC=C([N+]([O-])=O)C=C4,EtOH,,,468
257,,[H]N(CCO)C(C=C5)=CC=C5/N=N/C6=CC=C([N+]([O-])=O)C=C6,EtOH,,,463
258,,[H]N(CCC#N)C(C=C7)=CC=C7/N=N/C8=CC=C([N+]([O-])=O)C=C8,EtOH,,,443
259,,CC9=CC(NCCC#N)=CC=C9/N=N/C%10=CC=C([N+]([O-])=O)C=C%10,EtOH,,,451
260,,OCCN(CCO)C(C=C%11)=CC=C%11/N=N/C%12=CC=C([N+]([O-])=O)C=C%12,EtOH,,,475
261,,OCCN(CCC#N)C(C=C%13)=CC=C%13/N=N/C%14=CC=C([N+]([O-])=O)C=C%14,EtOH,,,451
262,,CC%15=CC(N(CCO)CCC#N)=CC=C%15/N=N/C%16=CC=C([N+]([O-])=O)C=C%16,EtOH,,,461
263,,CN(CCC#N)C(C=C%17)=CC=C%17/N=N/C%18=CC=C([N+]([O-])=O)C=C%18,EtOH,,,448
264,,CCN(CCC#N)C(C=C%19)=CC=C%19/N=N/C%20=CC=C([N+]([O-])=O)C=C%20,EtOH,,,452
265,,CCN(CCC#N)C(C=C%21C)=CC=C%21/N=N/C%22=CC=C([N+]([O-])=O)C=C%22,EtOH,,,463
266,,N#CCCN(CCC#N)C(C=C%23)=CC=C%23/N=N/C%24=CC=C([N+]([O-])=O)C=C%24,EtOH,,,432
267,,CC1=CC(N(CCC#N)CCC#N)=CC=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2,EtOH,,,441
268,tet,C[N]1N=NC(=N1)N=NC2=CC=CC=C2,ACN,305.0,,310
269,3tri,C[N]1C=NC(=N1)N=NC2=CC=CC=C2,ACN,306.0,,310
270,3pzH,C[N]1C=CC(=N1)N=NC2=CC=CC=C2,ACN,311.0,,320
271,3pzMe,C[N]1C=C(C)C(=N1)N=NC2=CC=CC=C2,ACN,317.0,,325
272,4pzH,C[N]1C=C(C=N1)N=NC2=CC=CC=C2,ACN,318.0,,328
273,4pzMe,C[N]1N=C(C)C(=C1C)N=NC2=CC=CC=C2,ACN,327.0,,335
274,5pzH,C[N]1N=CC=C1N=NC2=CC=CC=C2,ACN,333.0,,341
275,5pzMe,C[N]1N=CC(=C1N=NC2=CC=CC=C2)C,ACN,338.0,,340
276,3pyH,CC(N(C)C(C)=C1)=C1/N=N/C2=CC=CC=C2,ACN,359.0,,363
277,3pyMe,CC(N(C)C(C)=C1C)=C1/N=N/C2=CC=CC=C2,ACN,344.0,,345
278,2pyMe,CN1C(/N=N/C2=CC=CC=C2)=C(C)C=C1C,ACN,360.0,,394
279,2pyH,CN1C(/N=N/C2=CC=CC=C2)=CC=C1,ACN,351.0,,385
280,2im,CN1C(/N=N/C2=CC=CC=C2)=NC=C1,ACN,342.0,,363
281,4im,CN(C=N1)C=C1/N=N/C2=CC=CC=C2,ACN,329.0,,336
282,5im,CN1C(/N=N/C2=CC=CC=C2)=CN=C1,ACN,343.0,,362
283,3(5)-Arylazo‑1H‑pyrazoles,NC(C=C1)=CC=C1N=NC2=NNC=C2,DMSO,,,391
284,,COC(C=C1)=CC=C1N=NC2=NNC=C2,DMSO,,,344
285,,CC(C=C1)=CC=C1N=NC2=NNC=C2,DMSO,,,332
286,,C1(/N=N/C2=CC=NN2)=CC=NN1,DMSO,,,320
287,,[H]C(C=C1)=CC=C1N=NC2=NNC=C2,DMSO,,,324
288,,BrC(C=C1)=CC=C1N=NC2=NNC=C2,DMSO,,,331
289,,FC1=CC=CC=C1N=NC2=NNC=C2,DMSO,,,328
290,,O=C(O)C(C=C1)=CC=C1N=NC2=NNC=C2,DMSO,,,328
291,,O=C(C1=CC=C(/N=N/C2=NNC=C2)C=C1)OCC,DMSO,,,331
292,,CC(C(C=C1)=CC=C1N=NC2=NNC=C2)=O,DMSO,,,322
293,,[O-][N+](C(C=C1)=CC=C1N=NC2=NNC=C2)=O,DMSO,,,340
294,4pzH-F2,CN(N=C1)C=C1/N=N/C2=C(F)C=CC=C2F,ACN,,,316
295,4pMe-F2,CN(N=C1C)C(C)=C1/N=N/C2=C(F)C=CC=C2F,ACN,,,328
296,4pzMe-Cl2,CN(N=C1C)C(C)=C1/N=N/C2=C(Cl)C=CC=C2Cl,ACN,,,328
297,4pzMe-OMe2,CN(N=C1C)C(C)=C1/N=N/C2=C(OC)C=CC=C2OC,ACN,,,307
298,F2-sym,FC1=CC=CC=C1/N=N/C2=C(F)C=CC=C2,ACN,,,325
299,F2-asym,FC1=CC=CC(F)=C1/N=N/C2=CC=CC=C2,ACN,,,309
300,F4,FC1=CC=CC(F)=C1/N=N/C2=C(F)C=CC=C2F,ACN,,,305
301,F6,FC1=CC(F)=CC(F)=C1/N=N/C(C(F)=C2)=C(F)C=C2F,ACN,,,309
302,F8,FC1=C(F)C=C(F)C(F)=C1/N=N/C2=C(F)C(F)=CC(F)=C2F,ACN,,,303
303,F10,FC1=C(F)C(F)=C(F)C(F)=C1/N=N/C2=C(F)C(F)=C(F)C(F)=C2F,ACN,,,310
304,F2-ester-2,FC1=CC=CC(F)=C1/N=N/C2=CC=C(C(OCC)=O)C=C2,ACN,,,316
305,F4-diester,FC1=CC(C(OCC)=O)=CC(F)=C1/N=N/C2=C(F)C=C(C(OCC)=O)C=C2F,ACN,,,314
306,F4-ester,FC1=CC(C(OCC)=O)=CC(F)=C1/N=N/C2=C(F)C=CC=C2F,ACN,,,310
307,F2-diester,FC1=CC(C(OCC)=O)=CC(F)=C1/N=N/C2=CC=C(C(OCC)=O)C=C2,ACN,,,320
308,F2-ester-1,FC1=CC(C(OCC)=O)=CC(F)=C1/N=N/C2=CC=CC=C2,ACN,,,316
309,2,CC(NC(C=C1)=CC(OC)=C1/N=N/C2=C(OC)C=C(NC(C)=O)C=C2)=O,DMSO,,,338
310,3,CC(NC(C=C1OC)=CC(OC)=C1/N=N/C2=C(OC)C=C(NC(C)=O)C=C2OC)=O,DMSO,,,345
311,pyrOMe,COC(C=CN=C1)=C1/N=N/C2=CC=CC=C2,toluene,,,332
312,pyr,C1(/N=N/C2=CC=CC=C2)=CC=CN=C1,toluene,,,322
313,pyrMe,CC1=C(/N=N/C2=CC=CC=C2)C=NC=C1,toluene,,,322
314,pyrisoprop,CC(C)C1=C(/N=N/C2=CC=CC=C2)C=NC=C1,toluene,,,323
315,pyriodo,IC1=C(/N=N/C2=CC=CC=C2)C=NC=C1,toluene,,,330
316,pyrNMe2,CN(C)C1=C(/N=N/C2=CC=CC=C2)C=NC=C1,toluene,,,313
317,pyrimdione,O=C(N(CCC)C=C1/N=N/C2=CC=C(C(C)(C)C)C=C2)NC1=O,toluene,,,375
318,carbohydrate,O=C(COC1=C(/N=N\C2=C(OC3)C=CC=C2)C=CC=C1)O[C@H]4[C@H](OCC5=CC=CC=C5)[C@@H](OCC6=CC=CC=C6)[C@H](SC7=CC=CC=C7)O[C@@H]4COC3=O,ACN,,,310
319,v1,CC1=C(C(C)=NN1)/N=N/C2=C(F)C=CC=C2,ACN,,,334
320,v2,CC1=C(C(C)=NN1)/N=N/C2=CC(F)=CC=C2,ACN,,,334
321,v3,CC1=C(C(C)=NN1)/N=N/C2=CC=C(F)C=C2,ACN,,,330
322,v4,CC1=C(C(C)=NN1)/N=N/C2=C(Cl)C=CC=C2,ACN,,,339
323,v5,CC1=C(C(C)=NN1)/N=N/C2=CC(Cl)=CC=C2,ACN,,,336
324,,CC1=C(C(C)=NN1)/N=N/C2=CC=C(Cl)C=C2,ACN,,,336
325,,CC1=C(C(C)=NN1)/N=N/C2=C(Br)C=CC=C2,ACN,,,340
326,,CC1=C(C(C)=NN1)/N=N/C2=CC(Br)=CC=C2,ACN,,,335
327,,CC1=C(C(C)=NN1)/N=N/C2=CC=C(Br)C=C2,ACN,,,337
328,V 3-OH,CC1=C(C(C)=NN1)/N=N/C2=CC(O)=CC=C2,ACN,,,330
329,V 2-CF3,CC1=C(C(C)=NN1)/N=N/C2=C(C(F)(F)F)C=CC=C2,ACN,,,335
330,,CC1=C(C(C)=NN1)/N=N/C2=CC(C(F)(F)F)=CC=C2,ACN,,,332
331,,CC1=C(C(C)=NN1)/N=N/C2=CC=C(C(F)(F)F)C=C2,ACN,,,334
332,,CC1=C(C(C)=NN1)/N=N/C2=C(OC)C=CC=C2,ACN,,,350
333,,CC1=C(C(C)=NN1)/N=N/C2=CC(OC)=CC=C2,ACN,,,330
334,,CC1=C(C(C)=NN1)/N=N/C2=CC=C(OC)C=C2,ACN,,,342
335,2-Me,CC1=C(C(C)=NN1)/N=N/C2=C(C)C=CC=C2,ACN,,,336
336,,CC1=C(C(C)=NN1)/N=N/C2=CC(C)=CC=C2,ACN,,,331
337,,CC1=C(C(C)=NN1)/N=N/C2=CC=C(C)C=C2,ACN,,,335
338,3-COOH,CC1=C(C(C)=NN1)/N=N/C2=CC(C(O)=O)=CC=C2,ACN,,,332
339,,CC1=C(C(C)=NN1)/N=N/C2=CC=C(C(O)=O)C=C2,ACN,,,342
340,,CC1=C(C(C)=NN1)/N=N/C2=CC(NC(C)=O)=CC=C2,ACN,,,329
341,,CC1=C(C(C)=NN1)/N=N/C2=CC=C(NC(C)=O)C=C2,ACN,,,350
342,isoxazoles,CC1=NOC(C)=C1/N=N/C2=CC=CC=C2,ACN,,,315
343,,CC1=NOC(C)=C1/N=N/C2=C(F)C=CC=C2,ACN,,,321
344,,CC1=NOC(C)=C1/N=N/C2=CC(F)=CC=C2,ACN,,,315
345,,CC1=NOC(C)=C1/N=N/C2=CC=C(F)C=C2,ACN,,,318
346,,CC1=NOC(C)=C1/N=N/C2=C(Cl)C=CC=C2,ACN,,,321
347,,CC1=NOC(C)=C1/N=N/C2=CC(Cl)=CC=C2,ACN,,,315
348,,CC1=NOC(C)=C1/N=N/C2=CC=C(Cl)C=C2,ACN,,,323
349,,CC1=NOC(C)=C1/N=N/C2=C(Br)C=CC=C2,ACN,,,321
350,,CC1=NOC(C)=C1/N=N/C2=CC(Br)=CC=C2,ACN,,,315
351,,CC1=NOC(C)=C1/N=N/C2=CC=C(Br)C=C2,ACN,,,325
352,,CC1=NOC(C)=C1/N=N/C2=CC=C(I)C=C2,ACN,,,330
353,3-OH,CC1=NOC(C)=C1/N=N/C2=CC(O)=CC=C2,ACN,,,313
354,3-CF3,CC1=NOC(C)=C1/N=N/C2=CC(C(F)(F)F)=CC=C2,ACN,,,314
355,,CC1=NOC(C)=C1/N=N/C2=CC=C(C(F)(F)F)C=C2,ACN,,,312
356,2-OME,CC1=NOC(C)=C1/N=N/C2=C(OC)C=CC=C2,ACN,,,311
357,,CC1=NOC(C)=C1/N=N/C2=CC(OC)=CC=C2,ACN,,,312
358,,CC1=NOC(C)=C1/N=N/C2=CC=C(OC)C=C2,ACN,,,337
359,2-NO2,CC1=NOC(C)=C1/N=N/C2=C([N+]([O-])=O)C=CC=C2,ACN,,,318
360,,CC1=NOC(C)=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2,ACN,,,332
361,,CC1=NOC(C)=C1/N=N/C2=CC=C(C)C=C2,ACN,,,323
362,,CC1=NOC(C)=C1/N=N/C2=CC(NC(C)=O)=CC=C2,ACN,,,315
363,,CC1=NOC(C)=C1/N=N/C2=CC=C(NC(C)=O)C=C2,ACN,,,342
364,,CC1=C(/N=N/C2=C3C=CC=CC3=CC=C2)C(C)=NO1,ACN,,,362
365,,CC1=C(/N=N/C2=CC(Cl)=CC=C2Cl)C(C)=NO1,ACN,,,320
366,,CC1=C(/N=N/C2=C(Cl)C=CC=C2Cl)C(C)=NO1,ACN,,,297
367,,CC1=C(/N=N/C2=CC=C(F)C=C2F)C(C)=NO1,ACN,,,324
368,,CC1=C(/N=N/C2=CC(F)=CC=C2F)C(C)=NO1,ACN,,,328
369,,CC1=C(/N=N/C2=C(F)C=CC=C2F)C(C)=NO1,ACN,,,309
370,,CC1=C(/N=N/C2=CC(F)=CC(F)=C2)C(C)=NO1,ACN,,,315
371,3-Nh2,CC1=C(/N=N/C2=CC=CC(N)=C2)C(C)=NO1,ACN,,,315
372,2-CN,CC1=C(/N=N/C2=CC=CC=C2C#N)C(C)=NO1,ACN,,,325
373,pyr,CC1=C(/N=N/C2=CC=CN=C2)C(C)=NO1,ACN,,,316
374,thiophene,CC1=CC=C(/N=N/C2=CC=CS2)C=C1,ACN,,,365
375,thiophenylazobenzenes,COC(S1)=CC=C1/N=N/C2=CC=CC=C2,ACN,,,394
376,,COC(S1)=CC=C1/N=N/C2=CC=C(C#N)C=C2,ACN,,,413
377,,CC(S1)=CC=C1/N=N/C2=CC=C(C#N)C=C2,ACN,,,387
378,,CC(S1)=CC=C1/N=N/C2=CC=C(C(F)(F)F)C=C2,ACN,,,378
379,,N#CC(S1)=CC=C1/N=N/C2=CC=CC=C2,ACN,,,367
380,,COC1=CC=C(/N=N/C2=CC=CS2)C=C1,ACN,,,373
381,,N#CC1=CC=C(/N=N/C2=CC=CS2)C=C1,ACN,,,370
382,,FC(F)(F)C1=CC=C(/N=N/C2=CC=CS2)C=C1,ACN,,,362
383,,COC1=CC(/N=N/C2=CC=CS2)=CC=C1,ACN,,,364
384,,N#CC1=CC(/N=N/C2=CC=CS2)=CC=C1,ACN,,,362
385,https://www.sciencedirect.com/science/article/pii/S0143720807001933?via%3Dihub,Cc1[nH]c2c(c1N=Nc1nncs1)cccc2,ACN,,,428
386,,Cn1c(C)c(c2c1cccc2)N=Nc1nncs1,ACN,,,434
387,,c1ccc(cc1)c1[nH]c2c(c1N=Nc1nncs1)cccc2,ACN,,,437
388,,Cn1c(c2ccccc2)c(c2c1cccc2)N=Nc1nncs1,ACN,,,431
389,,CSc1nnc(s1)N=Nc1c(C)[nH]c2c1cccc2,ACN,,,445
390,,CSc1nnc(s1)N=Nc1c2ccccc2n(c1C)C,ACN,,,451
391,,CSc1nnc(s1)N=Nc1c([nH]c2c1cccc2)c1ccccc1,ACN,,,467
392,,CSc1nnc(s1)N=Nc1c(c2ccccc2)n(c2c1cccc2)C,ACN,,,459
393,,CC1=C(/N=N/C2=NN=C(CC)S2)C3=CC=CC=C3N1,ACN,,,420
394,,CCc1nnc(s1)N=Nc1c2ccccc2n(c1C)C,ACN,,,432
395,,CCc1nnc(s1)N=Nc1c([nH]c2c1cccc2)c1ccccc1,ACN,,,440
396,,CCc1nnc(s1)N=Nc1c(c2ccccc2)n(c2c1cccc2)C,ACN,,,438
397,,Cc1[nH]c2c(c1N=Nc1n[nH]c(n1)S)cccc2,ACN,,,392
398,,Sc1[nH]nc(n1)N=Nc1c(C)n(c2c1cccc2)C,ACN,,,401
399,,Sc1[nH]nc(n1)N=Nc1c([nH]c2c1cccc2)c1ccccc1,ACN,,,411
400,,Sc1[nH]nc(n1)N=Nc1c(c2ccccc2)n(c2c1cccc2)C,ACN,,,408
401,,Cc1[nH]c2c(c1N=Nc1nncs1)cccc2,Chl,,,419
402,,Cn1c(C)c(c2c1cccc2)N=Nc1nncs1,Chl,,,429
403,,c1ccc(cc1)c1[nH]c2c(c1N=Nc1nncs1)cccc2,Chl,,,438
404,,Cn1c(c2ccccc2)c(c2c1cccc2)N=Nc1nncs1,Chl,,,434
405,,CSc1nnc(s1)N=Nc1c(C)[nH]c2c1cccc2,Chl,,,442
406,,CSc1nnc(s1)N=Nc1c2ccccc2n(c1C)C,Chl,,,451
407,,CSc1nnc(s1)N=Nc1c([nH]c2c1cccc2)c1ccccc1,Chl,,,465
408,,CSc1nnc(s1)N=Nc1c(c2ccccc2)n(c2c1cccc2)C,Chl,,,459
409,,CC1=C(/N=N/C2=NN=C(CC)S2)C3=CC=CC=C3N1,Chl,,,428
410,,CCc1nnc(s1)N=Nc1c2ccccc2n(c1C)C,Chl,,,431
411,,CCc1nnc(s1)N=Nc1c([nH]c2c1cccc2)c1ccccc1,Chl,,,437
412,,CCc1nnc(s1)N=Nc1c(c2ccccc2)n(c2c1cccc2)C,Chl,,,430
413,,Cc1[nH]c2c(c1N=Nc1n[nH]c(n1)S)cccc2,Chl,,,381
414,,Sc1[nH]nc(n1)N=Nc1c(C)n(c2c1cccc2)C,Chl,,,398
415,,Sc1[nH]nc(n1)N=Nc1c([nH]c2c1cccc2)c1ccccc1,Chl,,,410
416,,Sc1[nH]nc(n1)N=Nc1c(c2ccccc2)n(c2c1cccc2)C,Chl,,,409
417,,Cc1[nH]c2c(c1N=Nc1nncs1)cccc2,MeOH,,,434
418,,Cn1c(C)c(c2c1cccc2)N=Nc1nncs1,MeOH,,,439
419,,c1ccc(cc1)c1[nH]c2c(c1N=Nc1nncs1)cccc2,MeOH,,,454
420,,Cn1c(c2ccccc2)c(c2c1cccc2)N=Nc1nncs1,MeOH,,,444
421,,CSc1nnc(s1)N=Nc1c(C)[nH]c2c1cccc2,MeOH,,,450
422,,CSc1nnc(s1)N=Nc1c2ccccc2n(c1C)C,MeOH,,,454
423,,CSc1nnc(s1)N=Nc1c([nH]c2c1cccc2)c1ccccc1,MeOH,,,472
424,,CSc1nnc(s1)N=Nc1c(c2ccccc2)n(c2c1cccc2)C,MeOH,,,464
425,,CC1=C(/N=N/C2=NN=C(CC)S2)C3=CC=CC=C3N1,MeOH,,,434
426,,CCc1nnc(s1)N=Nc1c2ccccc2n(c1C)C,MeOH,,,440
427,,CCc1nnc(s1)N=Nc1c([nH]c2c1cccc2)c1ccccc1,MeOH,,,458
428,,CCc1nnc(s1)N=Nc1c(c2ccccc2)n(c2c1cccc2)C,MeOH,,,445
429,,Cc1[nH]c2c(c1N=Nc1n[nH]c(n1)S)cccc2,MeOH,,,395
430,,Sc1[nH]nc(n1)N=Nc1c(C)n(c2c1cccc2)C,MeOH,,,399
431,,Sc1[nH]nc(n1)N=Nc1c([nH]c2c1cccc2)c1ccccc1,MeOH,,,410
432,,Sc1[nH]nc(n1)N=Nc1c(c2ccccc2)n(c2c1cccc2)C,MeOH,,,405
433,,Cc1[nH]c2c(c1N=Nc1nncs1)cccc2,DMSO,,,469
434,,Cn1c(C)c(c2c1cccc2)N=Nc1nncs1,DMSO,,,441
435,,c1ccc(cc1)c1[nH]c2c(c1N=Nc1nncs1)cccc2,DMSO,,,496
436,,Cn1c(c2ccccc2)c(c2c1cccc2)N=Nc1nncs1,DMSO,,,452
437,,CSc1nnc(s1)N=Nc1c(C)[nH]c2c1cccc2,DMSO,,,462
438,,CSc1nnc(s1)N=Nc1c2ccccc2n(c1C)C,DMSO,,,460
439,,CSc1nnc(s1)N=Nc1c([nH]c2c1cccc2)c1ccccc1,DMSO,,,509
440,,CSc1nnc(s1)N=Nc1c(c2ccccc2)n(c2c1cccc2)C,DMSO,,,466
441,,CC1=C(/N=N/C2=NN=C(CC)S2)C3=CC=CC=C3N1,DMSO,,,469
442,,CCc1nnc(s1)N=Nc1c2ccccc2n(c1C)C,DMSO,,,442
443,,CCc1nnc(s1)N=Nc1c([nH]c2c1cccc2)c1ccccc1,DMSO,,,499
444,,CCc1nnc(s1)N=Nc1c(c2ccccc2)n(c2c1cccc2)C,DMSO,,,450
445,,Cc1[nH]c2c(c1N=Nc1n[nH]c(n1)S)cccc2,DMSO,,,388
446,,Sc1[nH]nc(n1)N=Nc1c(C)n(c2c1cccc2)C,DMSO,,,402
447,,Sc1[nH]nc(n1)N=Nc1c([nH]c2c1cccc2)c1ccccc1,DMSO,,,411
448,,Sc1[nH]nc(n1)N=Nc1c(c2ccccc2)n(c2c1cccc2)C,DMSO,,,394
449,https://www.sciencedirect.com/science/article/pii/S1010603009004626,OC1=CC=C(/N=N/C2=CC=C([N+]([O-])=O)C=C2)C=C1/C=N/C3=CC(C(O)=O)=CC=N3,Chl,,,378
450,2,OC1=CC=C(/N=N/C2=CC=C([N+]([O-])=O)C=C2)C=C1/C=N/C3=CC(C(OCC)=O)=CC=N3,Chl,,,379
451,4,OC1=CC=C(/N=N/C2=CC=C(C=C2)[N+]([O-])=O)C=C1/C=N/C3=C(C(C)C)C=C(S(=O)(O)=O)C=C3C(C)C,Chl,,,267
452,3,OC1=CC=C(/N=N/C2=CC=C([N+]([O-])=O)C=C2)C=C1/C=N/C3=CC(C(O)=O)=CC=N3,THF,,,273
453,2,OC1=CC=C(/N=N/C2=CC=C([N+]([O-])=O)C=C2)C=C1/C=N/C3=CC(C(OCC)=O)=CC=N3,THF,,,271
454,4,OC1=CC=C(/N=N/C2=CC=C(C=C2)[N+]([O-])=O)C=C1/C=N/C3=C(C(C)C)C=C(S(=O)(O)=O)C=C3C(C)C,THF,,,268
455,https://chemistry-europe.onlinelibrary.wiley.com/doi/epdf/10.1002/chem.201904309,CN1C2=CC=CC=C2N=C1/N=N/C3=NC4=CC=CC=C4N3C,ACN,,,439
456,,C12=CC=CC=C1N=C(/N=N/C3=NC4=CC=CC=C4O3)O2,ACN,,,430
457,,C12=CC=CC=C1N=C(/N=N/C3=NC4=CC=CC=C4S3)S2,ACN,,,421
458,https://www.sciencedirect.com/science/article/pii/S0143720809000680,[H]C1=CC=C(N=C(N=NC2=CC=CC=C2)S3)C3=C1,ACN,,,328
459,,[H]C4=CC=C(N=C(N=NC5=CC=CC=C5Cl)S6)C6=C4,ACN,,,335
460,,[H]C7=CC=C(N=C(N=NC8=CC=CC(CO)=C8)S9)C9=C7,ACN,,,328
461,,[H]C%10=CC=C(N=C(N=NC%11=C(NC(C)=O)C=CC=C%11)S%12)C%12=C%10,ACN,,,331
462,,[H]C%13=CC=C(N=C(N=NC%14=CC=C(NC(C)=O)C=C%14)S%15)C%15=C%13,ACN,,,371
